North Carolina,Wilkes County NC,5,6,66.00
North Carolina,Wilson County NC,5,4,66.19
North Carolina,Yancey County NC,7,8,73.17
North Dakota,Emmons County ND,7,8,74.94
North Dakota,Grant County ND,7,8,70.09
North Dakota,Kidder County ND,7,8,76.34
North Dakota,McLean County ND,7,8,74.05
North Dakota,Nelson County ND,7,8,79.40
North Dakota,Ransom County ND,7,8,76.36
North Dakota,Richland County ND,5,6,77.99
North Dakota,Steele County ND,7,8,69.59
North Dakota,Traill County ND,7,8,75.87
Ohio,Ashland County OH,5,4,72.10
Ohio,Ashtabula County OH,3,4,69.24
Ohio,Athens County OH,5,4,85.55
Ohio,Auglaize County OH,5,4,71.62
Ohio,Champaign County OH,5,6,67.47
Ohio,Clinton County OH,3,6,67.28
Ohio,Columbiana County OH,5,4,69.61
Ohio,Coshocton County OH,3,6,63.16
Ohio,Crawford County OH,5,4,68.85
Ohio,Darke County OH,5,6,68.90
Ohio,Defiance County OH,5,4,64.65
Ohio,Fayette County OH,3,6,64.70
Ohio,Gallia County OH,5,6,67.97
Ohio,Guernsey County OH,5,6,68.64
Ohio,Hancock County OH,5,4,70.27
Ohio,Huron County OH,5,4,68.54
Ohio,Knox County OH,3,4,65.07
Ohio,Logan County OH,3,6,67.89
Ohio,Marion County OH,3,4,66.50
Ohio,Morgan County OH,7,6,69.18
Ohio,Muskingum County OH,3,4,67.53
Ohio,Ross County OH,3,4,69.24
Ohio,Sandusky County OH,5,4,70.41
Ohio,Scioto County OH,5,4,71.73
Ohio,Seneca County OH,5,4,70.15
Ohio,Shelby County OH,5,4,67.62
Ohio,Tuscarawas County OH,5,4,68.09
Ohio,Van Wert County OH,5,6,68.81
Ohio,Wayne County OH,3,4,63.77
Ohio,Williams County OH,9,6,66.80
Oklahoma,Bryan County OK,5,6,68.88
Oklahoma,Cherokee County OK,5,6,71.77
Oklahoma,Jefferson County OK,7,8,62.66
Oklahoma,Muskogee County OK,5,4,65.68
Oklahoma,Ottawa County OK,5,6,62.90
Oklahoma,Payne County OK,5,4,83.52
Oklahoma,Pottawatomie County OK,3,4,65.60
Oklahoma,Stephens County OK,5,4,65.17
Oklahoma,Washington County OK,5,4,66.35
Oregon,Clatsop County OR,3,4,72.48
Oregon,Crook County OR,5,6,70.29
Oregon,Douglas County OR,5,4,73.06
Oregon,Hood River County OR,3,6,68.19
Oregon,Malheur County OR,5,6,60.37
Oregon,Morrow County OR,5,6,62.44
Oregon,Wasco County OR,3,6,67.75
Pennsylvania[E],Bradford County PA,5,6,70.19
Pennsylvania[E],Clearfield County PA,5,4,71.78
Pennsylvania[E],Clinton County PA,5,4,70.28
Pennsylvania[E],Crawford County PA,5,4,70.07
Pennsylvania[E],Fulton County PA,7,8,70.52
Pennsylvania[E],Huntingdon County PA,5,6,72.68
Pennsylvania[E],Indiana County PA,3,4,76.68
Pennsylvania[E],Juniata County PA,7,6,65.39
Pennsylvania[E],Lawrence County PA,3,4,71.04
Pennsylvania[E],Mifflin County PA,5,4,66.01
Pennsylvania[E],Northumberland County PA,5,4,71.67
Pennsylvania[E],Schuylkill County PA,5,4,75.54
Pennsylvania[E],Somerset County PA,5,4,70.85
Pennsylvania[E],Sullivan County PA,7,8,84.18
Pennsylvania[E],Susquehanna County PA,7,6,71.86
Pennsylvania[E],Union County PA,5,4,77.18
Pennsylvania[E],Venango County PA,3,4,73.32
Pennsylvania[E],Warren County PA,5,6,68.98
South Carolina,Cherokee County SC,5,4,66.90
South Carolina,Colleton County SC,5,6,62.63
South Carolina,Dillon County SC,5,6,61.68
South Carolina,Georgetown County SC,5,4,69.34
South Carolina,Greenwood County SC,5,4,60.86
South Carolina,McCormick County SC,7,8,76.85
South Carolina,Marlboro County SC,5,6,68.71
South Carolina,Newberry County SC,5,6,67.73
South Carolina,Oconee County SC,5,4,71.96
South Carolina,Orangeburg County SC,5,4,68.53
South Carolina,Union County SC,5,2,67.16
South Dakota,Clay County SD,5,6,82.84
South Dakota,Fall River County SD,11,6,73.29
South Dakota,Haakon County SD,7,8,73.08
South Dakota,Hanson County SD,5,8,60.71
South Dakota,Hutchinson County SD,7,8,66.33
South Dakota,Jackson County SD,7,8,57.66
South Dakota,Lawrence County SD,5,6,78.89
South Dakota,Miner County SD,7,8,72.06
South Dakota,Moody County SD,7,8,70.50
South Dakota,Oglala Lakota County SD,11,6,60.97
Tennessee,Bedford County TN,3,4,60.14
Tennessee,Bledsoe County TN,7,8,76.72
Tennessee,Campbell County TN,5,2,73.56
Tennessee,Cocke County TN,5,6,68.15
Tennessee,Coffee County TN,3,4,62.70
Tennessee,Franklin County TN,5,6,72.15
Tennessee,Greene County TN,5,4,69.38
Tennessee,Grundy County TN,7,8,71.94
Tennessee,Hancock County TN,7,8,71.13
Tennessee,Haywood County TN,5,6,66.72
Tennessee,Jackson County TN,3,8,73.32
Tennessee,Johnson County TN,7,6,75.79
Tennessee,Lawrence County TN,5,6,65.45
Tennessee,McMinn County TN,5,4,70.95
Tennessee,Meigs County TN,7,8,69.58
Tennessee,Putnam County TN,3,4,72.64
Tennessee,Roane County TN,5,2,72.28
Tennessee,Sevier County TN,5,4,66.55
Tennessee,Warren County TN,3,6,63.32
Texas,Andrews County TX,5,6,59.73
Texas,Bee County TX,5,6,67.70
Texas,Cherokee County TX,5,6,62.28
Texas,Coke County TX,7,8,68.23
Texas,Cooke County TX,3,6,60.62
Texas,Deaf Smith County TX,5,6,55.14
Texas,Delta County TX,1,8,64.98
Texas,Dickens County TX,7,8,70.77
Texas,Donley County TX,7,8,68.82
Texas,Fisher County TX,7,8,71.11
Texas,Glasscock County TX,7,8,64.18
Texas,Gray County TX,5,6,63.51
Texas,Hale County TX,5,4,58.64
Texas,Harrison County TX,5,4,60.59
Texas,Henderson County TX,3,4,66.80
Texas,Hockley County TX,5,6,61.98
Texas,Hopkins County TX,3,6,64.51
Texas,Hudspeth County TX,7,2,69.93
Texas,Hutchinson County TX,5,6,62.96
Texas,Jim Wells County TX,5,4,56.27
Texas,Kerr County TX,3,4,67.51
Texas,Kleberg County TX,5,4,66.24
Texas,Leon County TX,7,8,64.95
Texas,Marion County TX,7,8,71.66
Texas,Matagorda County TX,3,4,61.41
Texas,Navarro County TX,3,4,63.29
Texas,Newton County TX,7,2,72.33
Texas,Nolan County TX,5,6,61.30
Texas,Oldham County TX,7,2,69.39
Texas,Palo Pinto County TX,3,6,63.61
Texas,San Jacinto County TX,1,8,65.21
Texas,Schleicher County TX,7,8,63.45
Texas,Shackelford County TX,7,8,65.28
Texas,Starr County TX,5,4,54.79
Texas,Sterling County TX,7,8,60.25
Texas,Tyler County TX,7,6,69.87
Texas,Upton County TX,7,8,57.62
Texas,Walker County TX,3,4,79.33
Texas,Washington County TX,3,6,67.89
Texas,Wharton County TX,3,4,59.94
